REDE;SUBREDE;TIPO;CÓDIGO;CLIENTE;BAIRRO;CIDADE;CLASSE ;LATITUDE;LONGITUDE;PRODUTO;VENDA;DEVOLUÇÃO;% DEV
COMETA;-;REDE;337;COMETA (SIQUEIRA);VILA PERI;FORTALEZA;B;-3.789045;-38.5864455;QUEIJO MINAS FRESCAL TRAD VALE MILK 250G;R$ 145,34;R$ 0,00;0,00%
COMETA;-;REDE;337;COMETA (SIQUEIRA);VILA PERI;FORTALEZA;B;-3.789045;-38.5864455;QUEIJO MINAS FRESCAL ZERO VALE MILK 250G;R$ 162,18;R$ 0,00;0,00%
COMETA;-;REDE;337;COMETA (SIQUEIRA);VILA PERI;FORTALEZA;B;-3.789045;-38.5864455;RICOTA VALE MILK 200G;R$ 95,88;R$ 0,00;0,00%
REDE PARCERIA;COMPRE MAX;SUBREDE;348;COMPREMAX - SGT HERMINIO;MONTE CASTELO;FORTALEZA;B;-3.730491;-38.5771848;QUEIJO MINAS FRESCAL LIGHT VALE MILK 250G;R$ 117,35;R$ 33,60;28,63%
REDE PARCERIA;COMPRE MAX;SUBREDE;348;COMPREMAX - SGT HERMINIO;MONTE CASTELO;FORTALEZA;B;-3.730491;-38.5771848;QUEIJO MINAS FRESCAL TRAD VALE MILK 250G;R$ 74,05;R$ 41,00;55,37%
REDE PARCERIA;COMPRE MAX;SUBREDE;348;COMPREMAX - SGT HERMINIO;MONTE CASTELO;FORTALEZA;B;-3.730491;-38.5771848;QUEIJO MINAS FRESCAL ZERO VALE MILK 250G;R$ 127,08;R$ 31,50;24,79%
REDE PARCERIA;COMPRE MAX;SUBREDE;348;COMPREMAX - SGT HERMINIO;MONTE CASTELO;FORTALEZA;B;-3.730491;-38.5771848;RICOTA VALE MILK 200G;R$ 77,36;R$ 10,80;13,96%
REDE PARCERIA;SUPER PORTUGAL;SUBREDE;368;SUPER PORTUGAL - TAUAPE;SAO JOAO DO TAUAPE;FORTALEZA;A;-3.7560405;-38.5114051;QUEIJO MINAS FRESCAL LIGHT VALE MILK 250G;R$ 372,81;R$ 0,00;0,00%
REDE PARCERIA;SUPER PORTUGAL;SUBREDE;368;SUPER PORTUGAL - TAUAPE;SAO JOAO DO TAUAPE;FORTALEZA;A;-3.7560405;-38.5114051;QUEIJO MINAS FRESCAL TRAD VALE MILK 250G;R$ 153,75;R$ 0,00;0,00%
REDE PARCERIA;SUPER PORTUGAL;SUBREDE;368;SUPER PORTUGAL - TAUAPE;SAO JOAO DO TAUAPE;FORTALEZA;A;-3.7560405;-38.5114051;QUEIJO MINAS FRESCAL ZERO VALE MILK 250G;R$ 119,70;R$ 0,00;0,00%
